date,topic,Argentina_sentiment,Argentina_count,Australia_sentiment,Australia_count,Brazil_sentiment,Brazil_count,Canada_sentiment,Canada_count,China_sentiment,China_count,Czechia_sentiment,Czechia_count,Egypt_sentiment,Egypt_count,France_sentiment,France_count,Germany_sentiment,Germany_count,Hungary_sentiment,Hungary_count,India_sentiment,India_count,Israel_sentiment,Israel_count,Italy_sentiment,Italy_count,Japan_sentiment,Japan_count,"Korea, Republic of_sentiment","Korea, Republic of_count",Mexico_sentiment,Mexico_count,New Zealand_sentiment,New Zealand_count,Nigeria_sentiment,Nigeria_count,Pakistan_sentiment,Pakistan_count,Philippines_sentiment,Philippines_count,Poland_sentiment,Poland_count,Russian Federation_sentiment,Russian Federation_count,Saudi Arabia_sentiment,Saudi Arabia_count,Singapore_sentiment,Singapore_count,South Africa_sentiment,South Africa_count,Spain_sentiment,Spain_count,"Taiwan, Province of China_sentiment","Taiwan, Province of China_count",Turkey_sentiment,Turkey_count,Ukraine_sentiment,Ukraine_count,United Kingdom_sentiment,United Kingdom_count,United States_sentiment,United States_count
2026-01-19,Economic Data-Housing,0.1863,18.0,0.023,43.0,0.1681,18.0,0.1225,47.0,-0.013,9.0,0.335,17.0,0.069,18.0,0.0066,18.0,0.0787,127.0,-0.012,11.0,0.1168,72.0,0.4414,11.0,0.0716,37.0,0.2759,24.0,0.1594,104.0,0.2414,5.0,0.0838,32.0,0.236,11.0,,,0.4989,6.0,0.1148,14.0,0.2351,61.0,-0.1083,9.0,0.2549,19.0,0.2194,3.0,0.1902,101.0,-0.0775,79.0,0.0237,44.0,0.2375,15.0,-0.0173,31.0,0.1351,78.0
2026-01-19,Economic Data-Inflation,0.3476,9.0,0.2704,4.0,-0.4923,6.0,0.4126,29.0,,,-0.2307,8.0,0.0006,2.0,-0.0074,2.0,0.0228,12.0,-0.0968,3.0,0.4069,5.0,,,-0.5754,4.0,0.0005,5.0,0.1592,11.0,-0.0669,3.0,-0.3772,4.0,-0.4482,5.0,0.0089,1.0,-0.0412,2.0,0.4252,2.0,-0.2342,10.0,,,,,,,0.3033,5.0,0.4746,4.0,-0.0959,4.0,0.9273,2.0,-0.0168,1.0,-0.1177,8.0
2026-01-19,Economic Data-Interest Rates,0.2007,18.0,0.0598,5.0,0.1066,16.0,0.1025,11.0,0.0024,3.0,-0.0148,3.0,0.6066,3.0,0.1189,7.0,0.0167,77.0,-0.0342,4.0,0.1221,69.0,0.0216,4.0,-0.0152,15.0,0.6184,35.0,0.0996,45.0,-0.083,5.0,0.1152,11.0,0.1436,15.0,0.1016,6.0,0.202,14.0,0.0023,2.0,-0.0342,42.0,,,0.1781,4.0,-0.0158,3.0,0.1932,14.0,0.1953,28.0,-0.143,12.0,-0.113,6.0,-0.0615,25.0,-0.0601,37.0
2026-01-19,Economic Data-Manufacturing,-0.5485,9.0,0.2079,5.0,0.6244,3.0,0.3307,3.0,0.3028,11.0,-0.6134,4.0,0.0386,2.0,0.3989,6.0,0.0499,37.0,0.0512,2.0,0.5128,30.0,-0.8637,1.0,-0.0953,8.0,-0.4652,9.0,0.7579,28.0,-0.4586,2.0,0.01,1.0,,,0.3834,6.0,0.018,4.0,0.0211,1.0,0.2989,5.0,0.3842,3.0,0.0341,1.0,0.2253,3.0,0.3359,7.0,0.5828,17.0,0.6651,4.0,-0.1591,4.0,0.2767,11.0,0.3381,13.0
2026-01-19,Economic Data-Retail Sales,0.0003,1.0,0.0558,6.0,0.0089,1.0,0.3487,9.0,0.7903,4.0,0.022,3.0,,,0.0069,1.0,0.1418,41.0,0.0066,1.0,0.2495,15.0,0.0091,4.0,0.0149,12.0,0.2635,16.0,0.2074,16.0,0.4743,2.0,,,0.9502,1.0,0.0094,1.0,0.5085,6.0,0.2205,3.0,0.1055,22.0,-0.0028,1.0,,,0.3913,4.0,-0.1763,6.0,0.393,13.0,-0.2932,3.0,,,0.2721,26.0,0.2019,18.0
2026-01-19,Extreme Weather,-0.0794,250.0,-0.0311,24.0,-0.1242,182.0,-0.0998,57.0,-0.1296,11.0,-0.0291,40.0,0.0623,10.0,-0.0866,48.0,-0.0348,570.0,-0.2498,33.0,-0.1759,282.0,-0.0594,36.0,-0.3888,216.0,0.0432,55.0,0.0662,89.0,-0.1206,56.0,-0.0145,35.0,-0.033,4.0,-0.3432,35.0,-0.1374,23.0,-0.0486,84.0,-0.1444,330.0,0.1082,10.0,-0.1348,11.0,-0.1954,30.0,-0.0604,179.0,0.09,77.0,-0.2165,373.0,-0.0459,142.0,-0.0958,38.0,-0.0295,276.0
2026-01-19,Extreme Weather-Cold,-0.2429,10.0,-0.1725,9.0,-0.2136,4.0,-0.2686,70.0,0.2509,6.0,-0.2864,16.0,0.0496,5.0,-0.1903,9.0,-0.0572,72.0,-0.0718,42.0,-0.1469,84.0,-0.1775,10.0,-0.0465,18.0,-0.283,14.0,-0.1721,78.0,-0.1712,34.0,-0.0011,1.0,,,-0.2151,5.0,-0.0199,5.0,-0.0258,56.0,-0.1859,259.0,-0.0991,2.0,0.1104,3.0,,,-0.0959,26.0,-0.1162,70.0,-0.375,341.0,-0.0736,59.0,0.0301,20.0,-0.1002,217.0
2026-01-19,Extreme Weather-Drought,-0.1876,7.0,0.0255,3.0,-0.2724,77.0,,,,,-0.2045,4.0,-0.0022,1.0,-0.1253,10.0,0.1081,11.0,0.1538,5.0,0.0391,39.0,-0.005,2.0,-0.342,11.0,-0.0289,1.0,0.2461,3.0,-0.0239,13.0,-0.0078,21.0,-0.0008,1.0,-0.0458,5.0,0.0665,8.0,0.1261,5.0,-0.0434,28.0,-0.0011,1.0,,,-0.2476,10.0,-0.1283,28.0,-0.1504,3.0,-0.276,30.0,0.4468,2.0,0.5225,2.0,-0.2192,20.0
2026-01-19,Extreme Weather-Heat,-0.0624,18.0,0.0179,18.0,-0.3365,11.0,0.6159,12.0,,,0.014,2.0,,,0.0518,4.0,0.0083,25.0,-0.0219,1.0,-0.1975,18.0,0.3306,2.0,-0.3074,5.0,0.1873,5.0,0.0168,10.0,-0.0415,4.0,-0.1394,3.0,,,,,0.9227,1.0,0.0003,3.0,-0.2097,24.0,-0.0344,1.0,,,0.0049,1.0,0.0642,4.0,0.203,2.0,0.0141,3.0,-0.0246,15.0,0.0064,2.0,-0.1026,14.0
2026-01-19,Fiscal Policy,0.0871,116.0,0.0034,70.0,0.106,68.0,0.0027,31.0,0.1499,28.0,0.1713,33.0,0.0459,25.0,-0.0271,80.0,-0.0317,257.0,-0.0308,26.0,0.0604,219.0,-0.1655,24.0,0.0073,200.0,-0.0264,53.0,0.1949,106.0,0.0535,58.0,-0.0317,23.0,-0.0736,62.0,-0.0413,75.0,0.1145,60.0,-0.1181,36.0,0.1457,120.0,0.3525,8.0,-0.0346,10.0,0.1173,21.0,0.0313,136.0,0.0413,88.0,-0.114,84.0,0.0307,49.0,-0.0971,42.0,-0.086,269.0
2026-01-19,Fiscal Policy-Stimulus Package,0.1203,52.0,0.134,17.0,-0.0687,26.0,0.1821,15.0,0.1171,11.0,0.222,8.0,0.1867,9.0,-0.0633,43.0,-0.0608,64.0,0.053,12.0,0.1202,130.0,0.2169,16.0,0.0392,70.0,-0.0334,14.0,0.3739,31.0,0.2025,46.0,0.384,8.0,0.0926,47.0,0.1596,18.0,-0.0028,25.0,0.1268,24.0,0.1259,59.0,0.0154,1.0,-0.211,6.0,0.1966,5.0,0.0605,54.0,0.0298,13.0,0.0027,29.0,0.1081,21.0,-0.0344,27.0,0.0697,105.0
2026-01-19,Monetary Policy,0.2486,12.0,-0.0432,7.0,-0.0767,9.0,0.0878,8.0,0.2396,4.0,0.0036,5.0,0.3034,3.0,0.0014,3.0,0.0305,68.0,0.0082,2.0,0.1678,35.0,0.8601,1.0,-0.0766,10.0,0.7424,27.0,0.2171,26.0,-0.2141,3.0,0.4671,3.0,0.3589,12.0,0.4659,2.0,0.3086,10.0,0.0034,1.0,-0.1691,18.0,,,0.3128,3.0,0.0151,3.0,0.6117,9.0,0.1629,19.0,-0.1678,4.0,-0.8389,1.0,-0.1763,11.0,0.0187,16.0
